Command: ps -A

Results: 
  PID TTY          TIME CMD
    1 ?        00:04:37 init
    2 ?        00:00:00 kthreadd
    3 ?        00:06:20 ksoftirqd/0
    6 ?        00:00:00 migration/0
    7 ?        00:00:00 migration/1
    8 ?        00:00:00 kworker/1:0
    9 ?        00:02:05 ksoftirqd/1
   11 ?        00:00:00 migration/2
   12 ?        00:02:28 kworker/2:0
   13 ?        00:03:02 ksoftirqd/2
   14 ?        00:00:00 migration/3
   15 ?        00:00:00 kworker/3:0
   16 ?        00:01:55 ksoftirqd/3
   17 ?        00:00:00 cpuset
   18 ?        00:00:00 khelper
   19 ?        00:00:00 netns
   20 ?        00:00:00 kworker/u:1
   21 ?        00:00:17 sync_supers
   22 ?        00:00:00 bdi-default
   23 ?        00:00:00 kintegrityd
   24 ?        00:00:00 kblockd
   25 ?        00:00:00 ata_sff
   26 ?        00:00:00 khubd
   27 ?        00:00:00 md
   28 ?        00:07:33 kworker/1:1
   29 ?        00:05:16 kworker/2:1
   30 ?        00:05:13 kworker/3:1
   31 ?        00:00:02 khungtaskd
   32 ?        01:01:53 kswapd0
   33 ?        00:00:00 ksmd
   34 ?        00:00:00 khugepaged
   35 ?        00:00:00 fsnotify_mark
   36 ?        00:00:00 ecryptfs-kthrea
   37 ?        00:00:00 crypto
   45 ?        00:00:00 kthrotld
   46 ?        00:00:00 scsi_eh_0
   47 ?        00:00:00 scsi_eh_1
   48 ?        00:00:01 kworker/u:2
  257 ?        00:00:23 jbd2/sda1-8
  258 ?        00:00:00 ext4-dio-unwrit
  315 ?        00:00:00 upstart-udev-br
  320 ?        00:00:00 udevd
  466 ?        00:00:00 udevd
  467 ?        00:00:00 udevd
  532 ?        00:00:00 kpsmoused
  564 ?        00:00:00 upstart-socket-
  565 ?        00:00:26 rpcbind
  587 ?        00:46:17 flush-8:0
  613 ?        00:00:00 jbd2/sda6-8
  614 ?        00:00:00 ext4-dio-unwrit
  622 ?        00:12:05 jbd2/sda10-8
  623 ?        00:00:00 ext4-dio-unwrit
  628 ?        00:00:00 jbd2/sda8-8
  629 ?        00:00:00 ext4-dio-unwrit
